seq,gx,gy,gz,ax,ay,az,mx,my,mz
3544,0.081,-0.086,-0.030,0.03,-0.01,-9.85,52,-54,10
3545,-0.041,-0.086,0.092,0.03,-0.01,-9.85,52,-54,10
3546,0.020,-0.147,0.031,0.03,-0.01,-9.77,48,-50,8
3547,0.081,-0.025,-0.091,0.03,-0.01,-9.77,48,-50,8
3548,0.020,-0.025,-0.030,0.03,-0.01,-9.77,52,-50,8
3549,0.020,-0.025,-0.091,0.03,-0.01,-9.77,52,-50,8
3550,0.020,-0.025,-0.030,0.03,-0.01,-9.77,50,-52,10
3551,0.020,-0.025,0.031,0.03,-0.01,-9.85,50,-52,10
3552,-0.041,-0.147,-0.030,0.03,-0.01,-9.85,49,-51,13
3553,0.020,-0.025,-0.030,0.03,-0.01,-9.85,49,-51,13
3554,0.020,-0.025,-0.030,0.03,-0.01,-9.85,49,-53,13
3555,0.081,0.036,-0.030,0.03,-0.01,-9.85,49,-53,13
3556,-0.041,-0.086,0.031,0.03,-0.01,-9.85,49,-55,9
3557,0.020,-0.208,-0.030,0.03,-0.01,-9.77,49,-55,9
3558,0.081,-0.086,-0.030,0.03,-0.01,-9.77,56,-52,8
3559,0.020,-0.025,0.031,0.03,-0.01,-9.77,56,-52,8
3560,0.020,0.036,0.092,0.03,-0.01,-9.77,50,-54,10
3561,0.081,0.097,0.092,0.03,-0.01,-9.77,50,-54,10
3562,-0.102,0.036,-0.091,0.03,-0.01,-9.77,49,-59,7
3563,-0.102,-0.086,0.092,0.03,-0.01,-9.77,49,-59,7
3564,0.142,-0.086,0.154,0.03,-0.01,-9.77,48,-56,6
3565,0.081,-0.147,-0.030,0.03,-0.01,-9.77,48,-56,6
3566,0.020,-0.147,0.031,0.03,-0.01,-9.77,52,-58,6
3567,0.020,0.036,-0.030,0.03,-0.01,-9.77,52,-58,6
3568,-0.041,0.036,-0.030,0.03,-0.01,-9.77,49,-51,9
3569,0.020,0.036,0.092,0.03,-0.01,-9.85,49,-51,9
3570,0.081,0.036,0.031,0.03,-0.01,-9.85,49,-57,11
