nr,time,flyState,ax,ay,az,gx,gy,gz,height_speed,set_h,height,throttle,set_pitch,pitch,set_roll,roll,set_yaw,yaw,motval_0,motval_1, motval_2,motval_3,hor_xv,hor_yv, hor_dt,hor_seqNum,xPos,yPos,targetXVel,targetYVel,targetPitch, targetRoll, adj_pitch, adj_roll, adj_yaw, adj_h
50,946684902.472198,1,0.018393,0.017628,-9.803100,0.000000,0.074465,0.019532,0.000000,0.000000,0.299200,0.000000,0.000000,0.002647,0.000000,0.002043,0.000000,-0.014902,0.000000,0.000000,0.000000,0.000000,0.244860,0.000000,0.030548,5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
51,946684902.472442,1,-0.058248,0.017628,-9.803100,-0.061037,0.013428,-0.102542,0.000000,0.000000,0.299200,0.000000,0.000000,0.002459,0.000000,0.002084,0.000000,-0.014927,0.000000,0.000000,0.000000,0.000000,0.244860,0.000000,0.030548,5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
52,946684902.472625,1,0.018393,0.017628,-9.879741,0.000000,-0.047609,0.019532,0.000000,0.000000,0.299200,0.000000,0.000000,0.002508,0.000000,0.002141,0.000000,-0.014923,0.000000,0.000000,0.000000,0.000000,0.244860,0.000000,0.030548,5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
53,946684902.472839,1,0.018393,0.017628,-9.803100,-0.122074,-0.047609,-0.102542,0.000000,0.000000,0.299200,0.000000,0.000000,0.002557,0.000000,0.002171,0.000000,-0.014945,0.000000,0.000000,0.000000,0.000000,0.244860,0.000000,0.030548,5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
54,946684902.473052,1,0.018393,0.017628,-9.803100,-0.061037,-0.047609,0.019532,0.000000,0.000000,0.299200,0.000000,0.000000,0.002605,0.000000,0.002214,0.000000,-0.014941,0.000000,0.000000,0.000000,0.000000,0.244860,0.000000,0.030548,5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
55,946684902.473266,1,0.018393,0.017628,-9.803100,0.000000,0.013428,0.080569,0.000000,0.000000,0.299200,0.000000,0.000000,0.002667,0.000000,0.002271,0.000000,-0.014924,0.000000,0.000000,0.000000,0.000000,0.244860,0.000000,0.030548,5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
56,946684902.473693,1,0.018393,0.017628,-9.803100,0.000000,-0.047609,-0.102542,0.000000,0.000000,0.299200,0.000000,0.000000,0.002705,0.000000,0.002327,0.000000,-0.014967,0.000000,0.000000,0.000000,0.000000,0.244860,0.000000,0.030548,5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
57,946684902.476501,1,0.018393,0.017628,-9.803100,-0.061037,0.135502,0.019532,0.000000,0.000000,0.299200,0.000000,0.000000,0.003145,0.000000,0.002213,0.000000,-0.014913,0.000000,0.000000,0.000000,0.000000,0.244860,0.000000,0.030548,5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
58,946684902.476806,1,0.018393,0.017628,-9.803100,0.000000,0.135502,0.080569,0.000000,0.000000,0.299200,0.000000,0.000000,0.003245,0.000000,0.002270,0.000000,-0.014888,0.000000,0.000000,0.000000,0.000000,0.244860,0.000000,0.030548,5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
59,946684902.477081,1,0.018393,0.017628,-9.803100,-0.061037,-0.047609,-0.041505,0.000000,0.000000,0.299200,0.000000,0.000000,0.003291,0.000000,0.002310,0.000000,-0.014899,0.000000,0.000000,0.000000,0.000000,0.244860,0.000000,0.030548,5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
60,946684902.477264,1,0.018393,0.017628,-9.803100,0.000000,-0.169683,-0.102542,0.000000,0.000000,0.299200,0.000000,0.000000,0.003318,0.000000,0.002367,0.000000,-0.014918,0.000000,0.000000,0.000000,0.000000,0.244860,0.000000,0.030548,5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
61,946684902.477539,1,0.018393,0.017628,-9.803100,0.000000,-0.047609,-0.041505,0.000000,0.000000,0.299200,0.000000,0.000000,0.003364,0.000000,0.002424,0.000000,-0.014930,0.000000,0.000000,0.000000,0.000000,0.244860,0.000000,0.030548,5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
62,946684902.478088,1,-0.058248,0.017628,-9.803100,0.122074,-0.047609,0.080569,0.000000,0.000000,0.299200,0.000000,0.000000,0.003144,0.000000,0.002548,0.000000,-0.014885,0.000000,0.000000,0.000000,0.000000,0.244860,0.000000,0.030548,5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
63,946684902.478393,1,-0.058248,0.017628,-9.803100,0.061037,0.074465,-0.163579,0.000000,0.000000,0.299200,0.000000,0.000000,0.002972,0.000000,0.002624,0.000000,-0.014935,0.000000,0.000000,0.000000,0.000000,0.244860,0.000000,0.030548,5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
64,946684902.478576,1,-0.058248,0.017628,-9.726460,0.000000,0.013428,0.019532,0.000000,0.000000,0.299200,0.000000,0.000000,0.002779,0.000000,0.002681,0.000000,-0.014932,0.000000,0.000000,0.000000,0.000000,0.244860,0.000000,0.030548,5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
65,946684902.479309,1,-0.058248,0.017628,-9.726460,0.000000,0.013428,0.019532,0.000000,0.000000,0.299200,0.000000,0.000000,0.002593,0.000000,0.002738,0.000000,-0.014917,0.000000,0.000000,0.000000,0.000000,0.244860,0.000000,0.030548,5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
66,946684902.479614,1,0.018393,0.017628,-9.803100,0.000000,0.013428,-0.102542,0.000000,0.000000,0.299200,0.000000,0.000000,0.002656,0.000000,0.002795,0.000000,-0.014949,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.042481,6,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
67,946684902.480102,1,0.018393,0.017628,-9.803100,0.000000,0.074465,-0.041505,0.000000,0.000000,0.299200,0.000000,0.000000,0.002752,0.000000,0.002852,0.000000,-0.014969,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.042481,6,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
68,946684902.480438,1,0.018393,0.017628,-9.726460,-0.122074,0.013428,0.080569,0.004250,0.000000,0.299540,0.000000,0.000000,0.002816,0.000000,0.002868,0.000000,-0.014942,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.042481,6,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
69,946684902.480773,1,0.018393,0.017628,-9.726460,0.122074,0.074465,-0.041505,0.004250,0.000000,0.299540,0.000000,0.000000,0.002901,0.000000,0.002966,0.000000,-0.014956,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.042481,6,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
70,946684902.481079,1,0.018393,0.017628,-9.803100,-0.061037,0.074465,-0.041505,0.004250,0.000000,0.299540,0.000000,0.000000,0.002983,0.000000,0.003005,0.000000,-0.014968,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.042481,6,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
71,946684902.481384,1,0.018393,0.017628,-9.803100,0.122074,0.074465,0.080569,0.004250,0.000000,0.299540,0.000000,0.000000,0.003065,0.000000,0.003099,0.000000,-0.014944,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.042481,6,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
72,946684902.481781,1,0.018393,0.017628,-9.803100,-0.061037,-0.047609,-0.041505,0.004250,0.000000,0.299540,0.000000,0.000000,0.003105,0.000000,0.003131,0.000000,-0.014960,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.042481,6,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
73,946684902.482116,1,0.018393,0.017628,-9.803100,0.000000,-0.047609,0.019532,0.004250,0.000000,0.299540,0.000000,0.000000,0.003149,0.000000,0.003188,0.000000,-0.014954,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.042481,6,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
