ax,ay,az,gx,gy,gz,mx,my,mz
0.057,0.021,9.830,+0.08,-0.01,+0.10,42,-70,30
0.057,0.021,9.830,+0.08,+0.06,+0.10,38,-72,28
0.057,0.021,9.830,+0.08,-0.01,-0.14,38,-72,28
0.057,0.021,9.830,+0.08,-0.01,-0.02,32,-74,32
0.057,0.021,9.830,+0.02,+0.06,+0.04,32,-74,32
0.057,0.021,9.830,-0.10,-0.07,+0.10,40,-76,30
0.057,0.021,9.830,+0.08,+0.06,+0.10,40,-76,30
0.057,0.021,9.830,+0.02,-0.13,-0.02,34,-72,28
0.057,0.021,9.830,-0.04,+0.06,+0.04,34,-72,28
0.057,0.021,9.830,+0.02,+0.06,+0.04,33,-71,27
0.057,0.021,9.830,+0.08,-0.01,-0.02,33,-71,27
0.057,0.021,9.830,+0.08,-0.01,+0.04,35,-73,27
0.057,0.021,9.830,+0.08,-0.01,+0.04,35,-73,27
0.057,0.021,9.830,+0.02,-0.07,-0.02,32,-76,28
0.057,0.021,9.830,-0.04,+0.06,+0.04,32,-76,28
0.057,0.021,9.830,-0.10,-0.13,+0.04,35,-69,29
0.057,0.021,9.830,+0.02,-0.07,+0.10,35,-69,29
-0.020,0.021,9.830,+0.02,-0.13,+0.10,35,-75,33
-0.020,0.021,9.830,-0.04,-0.07,+0.04,35,-75,33
0.057,0.021,9.830,-0.04,-0.01,+0.04,34,-72,30
0.057,0.021,9.830,+0.02,+0.12,+0.10,34,-72,30
0.057,0.021,9.830,+0.02,-0.07,+0.04,35,-71,33
-0.020,-0.056,9.830,-0.04,-0.07,+0.04,35,-71,33
0.057,-0.056,9.830,-0.04,+0.12,-0.02,29,-75,27
0.057,0.021,9.830,-0.04,-0.13,+0.10,29,-75,27
0.057,0.021,9.830,+0.14,+0.12,+0.04,34,-72,32
0.057,0.021,9.830,+0.02,+0.12,-0.02,34,-72,32
-0.020,0.021,9.830,-0.04,-0.01,+0.04,32,-72,28
-0.020,0.021,9.830,-0.04,-0.07,-0.02,32,-72,28
-0.020,0.021,9.830,-0.04,+0.06,+0.10,33,-73,31
0.057,0.021,9.830,-0.04,-0.01,-0.02,33,-73,31
0.057,0.021,9.830,+0.02,-0.07,-0.02,37,-67,27
-0.020,0.021,9.830,+0.02,-0.01,-0.02,37,-67,27
0.057,0.021,9.907,-0.16,-0.13,-0.02,28,-64,34
0.057,0.021,9.907,+0.08,-0.07,-0.02,28,-64,34
0.057,0.021,9.907,+0.02,+0.12,+0.04,30,-76,26
0.057,0.021,9.907,+0.08,-0.07,+0.04,30,-76,26
0.057,0.021,9.907,-0.04,-0.07,-0.02,33,-69,31
0.057,0.021,9.907,+0.02,+0.06,-0.08,33,-69,31
0.057,0.021,9.907,-0.04,-0.01,+0.04,33,-69,31
0.057,0.097,9.907,+0.02,-0.13,-0.02,33,-69,31
0.057,0.021,9.907,-0.04,-0.07,-0.08,35,-71,33
0.057,0.021,9.830,+0.08,-0.07,-0.08,35,-71,33
0.057,0.021,9.830,+0.02,-0.01,-0.02,36,-74,32
0.057,0.021,9.830,+0.02,-0.07,+0.10,36,-74,32
0.057,0.021,9.830,-0.04,-0.01,+0.04,35,-71,29
0.057,0.021,9.830,-0.04,+0.12,-0.02,35,-71,29
0.057,0.021,9.830,+0.08,-0.07,-0.02,31,-77,25
0.057,0.021,9.830,+0.02,-0.01,+0.10,31,-77,25
0.057,0.021,9.830,+0.02,-0.01,+0.04,32,-74,32
0.057,0.021,9.907,-0.04,-0.01,-0.08,32,-74,32
0.057,0.021,9.830,-0.04,-0.19,+0.10,30,-74,28
0.057,0.021,9.907,-0.04,+0.12,-0.02,30,-74,28
0.057,0.021,9.907,+0.08,-0.13,-0.02,39,-69,25
0.057,0.021,9.907,-0.04,-0.01,+0.10,39,-69,25
0.057,0.021,9.830,+0.02,-0.01,+0.04,35,-71,31
0.057,0.021,9.830,+0.08,-0.07,+0.10,35,-71,31
0.057,0.097,9.830,-0.04,-0.07,-0.02,38,-70,28
0.057,0.021,9.830,-0.10,+0.06,-0.02,38,-70,28
0.057,0.021,9.830,+0.02,-0.01,-0.08,37,-77,31
0.057,0.021,9.830,+0.08,+0.12,-0.08,37,-77,31
0.057,0.021,9.830,+0.08,-0.01,-0.02,34,-70,30
0.057,0.021,9.830,+0.14,+0.06,-0.08,34,-70,30
0.057,0.021,9.830,+0.08,+0.06,-0.02,32,-68,30
0.057,0.021,9.830,+0.02,-0.01,+0.04,32,-68,30
0.057,0.021,9.830,+0.08,-0.07,-0.08,35,-69,29
0.057,0.021,9.830,-0.04,-0.19,-0.02,35,-69,29
0.057,0.021,9.830,-0.10,-0.07,+0.04,34,-72,30
-0.020,0.021,9.830,+0.02,+0.06,-0.02,34,-72,30
-0.020,0.021,9.830,-0.04,+0.06,-0.08,31,-71,29
-0.020,0.021,9.830,+0.08,+0.06,-0.02,31,-71,29
-0.020,0.021,9.830,+0.08,-0.01,-0.08,33,-73,27
-0.020,0.021,9.830,-0.04,-0.01,-0.02,33,-73,27
-0.020,0.021,9.830,+0.02,-0.01,+0.04,30,-76,30
-0.020,0.021,9.830,+0.14,+0.12,-0.14,30,-76,30
-0.020,0.021,9.830,-0.10,+0.06,-0.02,35,-73,35
-0.020,0.021,9.830,-0.04,-0.01,+0.04,35,-73,35
-0.020,0.021,9.830,-0.10,-0.13,+0.04,33,-73,29
-0.020,0.021,9.830,+0.02,-0.01,+0.10,33,-73,29
-0.020,0.021,9.830,+0.02,+0.06,+0.04,34,-66,32
-0.020,0.021,9.830,+0.02,+0.12,-0.02,34,-66,32
-0.020,0.021,9.830,-0.04,+0.12,-0.02,28,-72,28
-0.020,0.021,9.830,-0.04,-0.01,+0.04,28,-72,28
-0.020,0.021,9.830,-0.04,-0.01,+0.04,39,-77,33
-0.020,0.021,9.830,-0.04,+0.06,+0.04,39,-77,33
-0.020,0.021,9.830,-0.04,-0.07,-0.02,30,-70,32
0.057,0.021,9.830,+0.08,+0.06,+0.04,30,-70,32
-0.020,0.021,9.830,+0.02,-0.01,-0.02,34,-74,30
-0.020,0.021,9.830,+0.08,-0.07,-0.08,34,-74,30
0.057,0.021,9.830,+0.02,-0.13,-0.02,36,-72,32
0.057,0.021,9.830,+0.02,-0.01,-0.02,36,-72,32
0.057,0.021,9.830,-0.04,-0.13,-0.02,40,-70,30
0.057,0.021,9.830,-0.04,-0.01,-0.02,40,-70,30
0.057,0.021,9.830,+0.08,-0.01,-0.02,30,-70,26
0.057,0.021,9.830,+0.08,+0.24,+0.04,30,-70,26
0.057,0.021,9.830,+0.02,+0.12,+0.04,37,-71,29
0.057,0.021,9.830,+0.02,+0.06,-0.02,37,-71,29
0.057,0.021,9.830,+0.02,+0.06,+0.04,32,-68,34
-0.020,0.021,9.830,-0.04,-0.01,+0.10,32,-68,34
-0.020,0.021,9.830,+0.02,-0.13,+0.04,38,-74,32
-0.020,0.021,9.830,+0.02,+0.06,-0.02,38,-74,32
-0.020,0.021,9.907,+0.02,-0.01,-0.02,31,-77,25
-0.020,0.021,9.830,-0.10,-0.19,-0.02,31,-77,25
-0.020,0.021,9.830,+0.02,-0.07,-0.08,37,-69,25
